epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,1399.3,0.31593,0.97713,0.84394,0.84286,0.14242,0.15493,0.11688,1.15989,3.94959,1.33765,9.63895e-05,9.63895e-05,9.63895e-05
167,1405.49,0.32524,1.03049,0.89986,0.84286,0.14242,0.15493,0.11688,1.15989,3.94959,1.33765,9.37858e-05,9.37858e-05,9.37858e-05
168,1411.58,0.36331,1.02183,0.92082,0.8614,0.13332,0.15473,0.11699,1.17487,3.93008,1.34446,9.11821e-05,9.11821e-05,9.11821e-05
169,1417.9,0.32688,0.98714,0.89238,0.8614,0.13332,0.15473,0.11699,1.17487,3.93008,1.34446,8.85784e-05,8.85784e-05,8.85784e-05
170,1423.93,0.32934,1.03829,0.89646,0.8614,0.13332,0.15473,0.11699,1.17487,3.93008,1.34446,8.59747e-05,8.59747e-05,8.59747e-05
171,1430.63,0.32515,1.18481,0.91776,0.8614,0.13332,0.15473,0.11699,1.17487,3.93008,1.34446,8.3371e-05,8.3371e-05,8.3371e-05
172,1436.64,0.38568,1.10419,0.9272,0.86154,0.13436,0.15627,0.11949,1.18298,3.93263,1.34995,8.07673e-05,8.07673e-05,8.07673e-05
173,1448.24,0.32604,0.96271,0.89984,0.86154,0.13436,0.15627,0.11949,1.18298,3.93263,1.34995,7.81636e-05,7.81636e-05,7.81636e-05
174,1462.75,0.37095,0.95081,0.89308,0.86154,0.13436,0.15627,0.11949,1.18298,3.93263,1.34995,7.55599e-05,7.55599e-05,7.55599e-05
175,1472.56,0.36414,0.90946,0.91705,0.86154,0.13436,0.15627,0.11949,1.18298,3.93263,1.34995,7.29562e-05,7.29562e-05,7.29562e-05
176,1480.66,0.37383,0.96459,0.91099,0.86106,0.13389,0.15309,0.1174,1.18969,3.92226,1.3558,7.03525e-05,7.03525e-05,7.03525e-05
177,1487.17,0.25673,0.94051,0.84466,0.86106,0.13389,0.15309,0.1174,1.18969,3.92226,1.3558,6.77488e-05,6.77488e-05,6.77488e-05
178,1493.55,0.32835,0.95803,0.83988,0.86106,0.13389,0.15309,0.1174,1.18969,3.92226,1.3558,6.51451e-05,6.51451e-05,6.51451e-05
179,1500.19,0.42561,1.19315,0.95247,0.86106,0.13389,0.15309,0.1174,1.18969,3.92226,1.3558,6.25414e-05,6.25414e-05,6.25414e-05
180,1506.38,0.34979,1.1015,0.93098,0.86354,0.13475,0.15653,0.11949,1.18776,3.91996,1.3556,5.99377e-05,5.99377e-05,5.99377e-05
181,1520.3,0.37411,1.03927,0.95092,0.86354,0.13475,0.15653,0.11949,1.18776,3.91996,1.3556,5.7334e-05,5.7334e-05,5.7334e-05
182,1526.94,0.37803,1.0403,0.9042,0.86354,0.13475,0.15653,0.11949,1.18776,3.91996,1.3556,5.47303e-05,5.47303e-05,5.47303e-05
183,1533.53,0.32571,0.96101,0.86437,0.86354,0.13475,0.15653,0.11949,1.18776,3.91996,1.3556,5.21266e-05,5.21266e-05,5.21266e-05
